Epoch,Step,Loss_Total,Loss_Recon,Loss_KL,Loss_G_Adv,Loss_D
0,0,0.2831447124481201,0.28140002489089966,1744.701904296875,0.0,0.0
0,1,0.2554876506328583,0.1915227770805359,63964.875,0.0,0.0
0,2,0.19695593416690826,0.1932331621646881,3722.772216796875,0.0,0.0
0,3,0.1704375445842743,0.1649188995361328,5518.6474609375,0.0,0.0
0,4,0.14330250024795532,0.13948467373847961,3817.8271484375,0.0,0.0
0,5,0.16025041043758392,0.15771788358688354,2532.51953125,0.0,0.0
0,6,0.1572866141796112,0.15567909181118011,1607.5263671875,0.0,0.0
0,7,0.12300039082765579,0.12170787155628204,1292.518798828125,0.0,0.0
0,8,0.12545990943908691,0.12430264055728912,1157.26806640625,0.0,0.0
0,9,0.16446401178836823,0.16120579838752747,3258.216552734375,0.0,0.0
0,10,0.14244353771209717,0.13884864747524261,3594.896484375,0.0,0.0
0,11,0.14471785724163055,0.14225809276103973,2459.764404296875,0.0,0.0
0,12,0.1382988691329956,0.13667228817939758,1626.5819091796875,0.0,0.0
0,13,0.13881747424602509,0.13774871826171875,1068.757568359375,0.0,0.0
0,14,0.13259446620941162,0.13177822530269623,816.2382202148438,0.0,0.0
0,15,0.14728944003582,0.1455039381980896,1785.5087890625,0.0,0.0
0,16,0.13449594378471375,0.1322879046201706,2208.04296875,0.0,0.0
0,17,0.10376203805208206,0.10187294334173203,1889.0947265625,0.0,0.0
0,18,0.16132764518260956,0.15993808209896088,1389.5618896484375,0.0,0.0
0,19,0.12349512428045273,0.12231128662824631,1183.836669921875,0.0,0.0
0,20,0.10862233489751816,0.10745276510715485,1169.5673828125,0.0,0.0
0,21,0.13306131958961487,0.13142232596874237,1638.9891357421875,0.0,0.0
0,22,0.13003526628017426,0.128307044506073,1728.2249755859375,0.0,0.0
0,23,0.1305217742919922,0.12883347272872925,1688.3089599609375,0.0,0.0
0,24,0.10888220369815826,0.10716216266155243,1720.03759765625,0.0,0.0
0,25,0.11439216136932373,0.11285668611526489,1535.4720458984375,0.0,0.0
0,26,0.11989983171224594,0.11776968091726303,2130.14990234375,0.0,0.0
0,27,0.11996864527463913,0.1185230240225792,1445.62353515625,0.0,0.0
0,28,0.129117950797081,0.12758956849575043,1528.376708984375,0.0,0.0
0,29,0.10203603655099869,0.10054554790258408,1490.4857177734375,0.0,0.0
0,30,0.12309359759092331,0.12186108529567719,1232.513427734375,0.0,0.0
0,31,0.11947274953126907,0.116564080119133,2908.66796875,0.0,0.0
0,32,0.11184391379356384,0.10939657688140869,2447.3388671875,0.0,0.0
0,33,0.13458622992038727,0.13250690698623657,2079.32373046875,0.0,0.0
0,34,0.12943430244922638,0.12560011446475983,3834.186279296875,0.0,0.0
0,35,0.11225897073745728,0.10953567922115326,2723.293701171875,0.0,0.0
0,36,0.10094507038593292,0.09878205507993698,2163.0126953125,0.0,0.0
0,37,0.11511147022247314,0.11265383660793304,2457.6337890625,0.0,0.0
0,38,0.12555959820747375,0.12036840617656708,5191.19189453125,0.0,0.0
0,39,0.10930407792329788,0.10451878607273102,4785.294921875,0.0,0.0
0,40,0.12089955806732178,0.1176149845123291,3284.5703125,0.0,0.0
0,41,0.1040254756808281,0.10127870738506317,2746.771240234375,0.0,0.0
0,42,0.09362518042325974,0.09105752408504486,2567.65869140625,0.0,0.0
0,43,0.10435019433498383,0.10155181586742401,2798.37939453125,0.0,0.0
0,44,0.1313074231147766,0.12706409394741058,4243.3330078125,0.0,0.0
